,n,m,p,method,partition,acc_measure,acc_value
0,1000,470,0.001,Leiden-mod,Leiden-mod,NMI,0.916623534
1,1000,470,0.001,Leiden-mod,Leiden-mod,ARI,0
,1000,470,0.001,Leiden-mod,Leiden-mod,AMI,6.76E-11
2,1000,470,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.919179741
3,1000,470,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0
,1000,470,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,7.01E-11
4,1000,470,0.001,Leiden-mod,ECG,NMI,0.930215185
5,1000,470,0.001,Leiden-mod,ECG,ARI,0
,1000,470,0.001,Leiden-mod,ECG,AMI,7.94E-11
6,1000,470,0.001,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.919179741
7,1000,470,0.001,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0
,1000,470,0.001,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,7.01E-11
8,1000,470,0.001,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.920077403
9,1000,470,0.001,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0
,1000,470,0.001,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,7.07E-11
10,1000,1011,0.002,Leiden-mod,Leiden-mod,NMI,0.737640831
11,1000,1011,0.002,Leiden-mod,Leiden-mod,ARI,0
,1000,1011,0.002,Leiden-mod,Leiden-mod,AMI,9.66E-12
12,1000,1011,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.839809865
13,1000,1011,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0
,1000,1011,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,1.84E-11
14,1000,1011,0.002,Leiden-mod,ECG,NMI,0.805793406
15,1000,1011,0.002,Leiden-mod,ECG,ARI,0
,1000,1011,0.002,Leiden-mod,ECG,AMI,1.18E-11
16,1000,1011,0.002,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.919249331
17,1000,1011,0.002,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0
,1000,1011,0.002,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,6.24E-11
18,1000,1011,0.002,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.944149557
19,1000,1011,0.002,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0
