,n,m,p,method,partition,acc_measure,acc_value
0,2000,4776,0.001,Leiden-mod,Leiden-mod,NMI,0.919512239
1,2000,4776,0.001,Leiden-mod,Leiden-mod,ARI,0.894020592
,2000,4776,0.001,Leiden-mod,Leiden-mod,AMI,0.812933704
2,2000,4776,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.919512239
3,2000,4776,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.894020592
,2000,4776,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.812933704
4,2000,4776,0.001,Leiden-mod,ECG,NMI,0.930494536
5,2000,4776,0.001,Leiden-mod,ECG,ARI,0.942697287
,2000,4776,0.001,Leiden-mod,ECG,AMI,0.834619476
6,2000,4776,0.001,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.919512239
7,2000,4776,0.001,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.894020592
,2000,4776,0.001,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.812933704
8,2000,4776,0.001,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.919512239
9,2000,4776,0.001,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.894020592
,2000,4776,0.001,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.812933704
10,2000,5244,0.002,Leiden-mod,Leiden-mod,NMI,0.768848044
11,2000,5244,0.002,Leiden-mod,Leiden-mod,ARI,0.520178196
,2000,5244,0.002,Leiden-mod,Leiden-mod,AMI,0.590815922
12,2000,5244,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.798503888
13,2000,5244,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.603827816
,2000,5244,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.629187784
14,2000,5244,0.002,Leiden-mod,ECG,NMI,0.838135927
15,2000,5244,0.002,Leiden-mod,ECG,ARI,0.800249481
,2000,5244,0.002,Leiden-mod,ECG,AMI,0.68747665
16,2000,5244,0.002,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.92825727
17,2000,5244,0.002,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.95781856
,2000,5244,0.002,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.831843795
18,2000,5244,0.002,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.955565737
19,2000,5244,0.002,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.978650734
,2000,5244,0.002,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.887145236
20,2000,6843,0.005,Leiden-mod,Leiden-mod,NMI,0.539871919
21,2000,6843,0.005,Leiden-mod,Leiden-mod,ARI,0.099038301
,2000,6843,0.005,Leiden-mod,Leiden-mod,AMI,0.354963787
22,2000,6843,0.005,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.539871919
23,2000,6843,0.005,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.099038301
,2000,6843,0.005,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.354963787
24,2000,6843,0.005,Leiden-mod,ECG,NMI,0.53774772
25,2000,6843,0.005,Leiden-mod,ECG,ARI,0.098133518
,2000,6843,0.005,Leiden-mod,ECG,AMI,0.351963818
26,2000,6843,0.005,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.539871919
27,2000,6843,0.005,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.099038301
,2000,6843,0.005,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.354963787
28,2000,6843,0.005,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.540371393
29,2000,6843,0.005,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.099053075
,2000,6843,0.005,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.355242049
30,2000,9257,0.01,Leiden-mod,Leiden-mod,NMI,0.534451384
31,2000,9257,0.01,Leiden-mod,Leiden-mod,ARI,0.097370304
,2000,9257,0.01,Leiden-mod,Leiden-mod,AMI,0.35118838
32,2000,9257,0.01,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.534451384
