,n,m,p,method,partition,coverage
0,2000,4776,0.001,leiden-mod,Leiden-MOD,0.8325
1,2000,4776,0.001,leiden-mod,FastEnsemble(Leiden-MOD),0.8325
2,2000,4776,0.001,leiden-mod,ECG,0.8325
3,2000,4776,0.001,leiden-mod,"Strict(np=10,Leiden-MOD)",0.8325
4,2000,4776,0.001,leiden-mod,"Strict(np=50,Leiden-MOD)",0.8325
5,2000,5244,0.002,leiden-mod,Leiden-MOD,0.9355
6,2000,5244,0.002,leiden-mod,FastEnsemble(Leiden-MOD),0.933
7,2000,5244,0.002,leiden-mod,ECG,0.9355
8,2000,5244,0.002,leiden-mod,"Strict(np=10,Leiden-MOD)",0.9015
9,2000,5244,0.002,leiden-mod,"Strict(np=50,Leiden-MOD)",0.8315
10,2000,6843,0.005,leiden-mod,Leiden-MOD,0.9965
11,2000,6843,0.005,leiden-mod,FastEnsemble(Leiden-MOD),0.9965
12,2000,6843,0.005,leiden-mod,ECG,0.9965
13,2000,6843,0.005,leiden-mod,"Strict(np=10,Leiden-MOD)",0.9965
14,2000,6843,0.005,leiden-mod,"Strict(np=50,Leiden-MOD)",0.996
15,2000,9257,0.01,leiden-mod,Leiden-MOD,1.0
16,2000,9257,0.01,leiden-mod,FastEnsemble(Leiden-MOD),1.0
17,2000,9257,0.01,leiden-mod,ECG,1.0
18,2000,9257,0.01,leiden-mod,"Strict(np=10,Leiden-MOD)",1.0
19,2000,9257,0.01,leiden-mod,"Strict(np=50,Leiden-MOD)",1.0
20,2000,14371,0.02,leiden-mod,Leiden-MOD,1.0
21,2000,14371,0.02,leiden-mod,FastEnsemble(Leiden-MOD),0.999
22,2000,14371,0.02,leiden-mod,ECG,1.0
23,2000,14371,0.02,leiden-mod,"Strict(np=10,Leiden-MOD)",0.9985
24,2000,14371,0.02,leiden-mod,"Strict(np=50,Leiden-MOD)",0.794
25,2000,29109,0.05,leiden-mod,Leiden-MOD,1.0
26,2000,29109,0.05,leiden-mod,FastEnsemble(Leiden-MOD),0.981
27,2000,29109,0.05,leiden-mod,ECG,1.0
28,2000,29109,0.05,leiden-mod,"Strict(np=10,Leiden-MOD)",0.5365
29,2000,29109,0.05,leiden-mod,"Strict(np=50,Leiden-MOD)",0.4975
30,2000,53917,0.1,leiden-mod,Leiden-MOD,1.0
31,2000,53917,0.1,leiden-mod,FastEnsemble(Leiden-MOD),0.757
32,2000,53917,0.1,leiden-mod,ECG,1.0
33,2000,53917,0.1,leiden-mod,"Strict(np=10,Leiden-MOD)",0.504
34,2000,53917,0.1,leiden-mod,"Strict(np=50,Leiden-MOD)",0.5
