net,type,res,NMI,ARI,AMI,min_gt,max_gt,mean_gt,median_gt,#clusters_gt,#nodes,#nodes_gt,remaining_nodes,proportion_well_connected_gt,mean_normalized_connectivity_gt,proportion_small_clusters_gt,proportion_disconnected_gt
cen,Leiden,mod,0.897322241,0.414104282,0.864991308,6,1000,120.7778091,33,24839,3000000,3000000,1,1,3.212601064,0.205555556,0
cen,Leiden,0.0001,0.913925461,0.581125658,0.813579958,7,1000,22.94191871,11,130765,3000000,3000000,1,0.999357626,2.953778118,0.452258232,0
cen,Leiden,0.001,0.957911209,0.880351438,0.877775193,5,998,14.47310656,8,207281,3000000,3000000,1,0.984397991,2.940309971,0.684487799,0
cen,Leiden,0.01,0.99639274,0.978789579,0.988008838,24,450,30.39790862,28,98691,3000000,3000000,1,0.9200535,1.31237925,0,0.000354642
cen,Leiden,0.1,0.844362774,0.02827488,0.070521203,14,168,16.76389727,15,178956,3000000,3000000,1,0,0.073075905,0,0.908117079
cen,Leiden,0.5,0.778332543,0.000160104,0.00303142,58,986,100.0033334,78,29999,3000000,3000000,1,0,0,0,1
cen,post-CM,mod,0.990466746,0.955863468,0.983958656,6,1000,120.7778091,33,24839,2900407,3000000,0.966802333,1,3.212601064,0.205555556,0
cen,post-CM,0.0001,0.981004785,0.969344069,0.943001429,7,1000,22.94191871,11,130765,2546457,3000000,0.848819,0.999357626,2.953778118,0.452258232,0
cen,post-CM,0.001,0.970557562,0.948474385,0.888121168,5,998,14.47310656,8,207281,2103719,3000000,0.701239667,0.984397991,2.940309971,0.684487799,0
cen,post-CM,0.01,0.997614152,0.983336912,0.991991034,24,450,30.39790862,28,98691,2963822,3000000,0.987940667,0.9200535,1.31237925,0,0.000354642
cen,post-CM,0.1,0.894757507,0.004724549,0.002843239,14,168,16.76389727,15,178956,3972,3000000,0.001324,0,0.073075905,0,0.908117079
cen,post-CM,0.5,0.810251414,0,1.80E-07,58,986,100.0033334,78,29999,0,3000000,0,0,0,0,1
cen,FastEnsemble,mod,0.988158954,0.881980035,,,,,,,,,,,,,
cen,FastEnsemble,0.0001,0.990290666,0.896654446,,,,,,,,,,,,,
cen,FastEnsemble,0.001,0.998013787,0.993767759,,,,,,,,,,,,,
cen,FastEnsemble,0.01,0.986330042,0.928967339,,,,,,,,,,,,,
cen,FastEnsemble,0.1,0.893657615,0.00126725,,,,,,,,,,,,,
cen,FastEnsemble,0.5,0.810088261,8.57E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
oc,Leiden,mod,0.837788214,0.150200075,0.725430109,18,999,40.1520424,26,74716,3000000,3000000,1,1,11.09395016,0,0
oc,Leiden,0.0001,0.868779951,0.013239573,0.697234191,15,820,21.58009452,18,139017,3000000,3000000,1,1,8.843186873,0,0
oc,Leiden,0.001,0.960952351,0.412983243,0.882442572,18,738,24.86902314,22,120632,3000000,3000000,1,1,6.803612867,0,0
oc,Leiden,0.01,1,1,1,28,599,36.10325531,32,83095,3000000,3000000,1,1,4.668585229,0,0
oc,Leiden,0.1,0.983871243,0.903590564,0.951173132,37,451,45.21477016,42,66350,3000000,3000000,1,1,3.061640005,0,0
oc,Leiden,0.5,0.833434144,0.012578149,0.064680825,35,435,42.84306585,39,70023,3000000,3000000,1,0.96548277,1.219906831,0,1.43E-05
oc,post-CM,mod,0.998302263,0.98925473,0.995396803,18,999,40.1520424,26,74716,2979024,3000000,0.993008,1,11.09395016,0,0
oc,post-CM,0.0001,0.96992749,0.014088611,0.90151939,15,820,21.58009452,18,139017,2999915,3000000,0.999971667,1,8.843186873,0,0
oc,post-CM,0.001,0.972939595,0.441247614,0.914580333,18,738,24.86902314,22,120632,2999911,3000000,0.999970333,1,6.803612867,0,0
oc,post-CM,0.01,1,1,1,28,599,36.10325531,32,83095,3000000,3000000,1,1,4.668585229,0,0
oc,post-CM,0.1,0.98363766,0.90343397,0.949525627,37,451,45.21477016,42,66350,2781254,3000000,0.927084667,1,3.061640005,0,0
oc,post-CM,0.5,0.854910141,0.001081218,0.00242828,35,435,42.84306585,39,70023,5143,3000000,0.001714333,0.96548277,1.219906831,0,1.43E-05
oc,FastEnsemble,mod,,,,,,,,,,,,,,,
oc,FastEnsemble,0.0001,0.987897589,0.078553197,,,,,,,,,,,,,
oc,FastEnsemble,0.001,0.99246895,0.750163326,,,,,,,,,,,,,
oc,FastEnsemble,0.01,1,1,,,,,,,,,,,,,
oc,FastEnsemble,0.1,0.979505719,0.871092369,,,,,,,,,,,,,
oc,FastEnsemble,0.5,0.854822444,0.000179254,,,,,,,,,,,,,
cit_hepph,Leiden,mod,0.994698926,0.999135227,0.99458948,15,3353,367.5106383,59.5,94,34546,34546,1,1,7.355668725,0,0
cit_hepph,Leiden,0.0001,0.713439316,0.152953361,0.663817217,18,1322,32.34644195,25,1068,34546,34546,1,1,9.94026208,0,0
cit_hepph,Leiden,0.001,0.991948116,0.998776617,0.99156011,13,2772,200.8488372,30,172,34546,34546,1,1,7.536561018,0,0
cit_hepph,Leiden,0.01,0.997632626,0.997669141,0.996053074,11,712,29.90995671,16,1155,34546,34546,1,1,7.769402613,0,0
cit_hepph,Leiden,0.1,0.682662266,0.066122862,0.431772069,159,318,227.2763158,224,152,34546,34546,1,1,2.56230294,0,0
cit_hepph,Leiden,0.5,0.664456338,0.004558466,0.065290253,80,159,120.369338,125,287,34546,34546,1,0.968641115,1.4313504,0,0
cit_hepph,post-CM,mod,0.991985432,0.999304372,0.991716186,15,3353,367.5106383,59.5,94,34254,34546,0.991547502,1,7.355668725,0,0
cit_hepph,post-CM,0.0001,0.753057493,0.157642217,0.693463447,18,1322,32.34644195,25,1068,34546,34546,1,1,9.94026208,0,0
cit_hepph,post-CM,0.001,0.996041301,0.999325652,0.995832248,13,2772,200.8488372,30,172,34546,34546,1,1,7.536561018,0,0
cit_hepph,post-CM,0.01,0.997632626,0.997669141,0.996053074,11,712,29.90995671,16,1155,34546,34546,1,1,7.769402613,0,0
cit_hepph,post-CM,0.1,0.689821513,0.051190369,0.289987555,159,318,227.2763158,224,152,11357,34546,0.328750072,1,2.56230294,0,0
cit_hepph,post-CM,0.5,0.70095167,0,-6.98E-11,80,159,120.369338,125,287,0,34546,0,0.968641115,1.4313504,0,0
cit_hepph,"SC(n=10,t=0.2)",mod,0.994466956,0.999098804,0.994353606,,,,,,,,,,,,
cit_hepph,"SC(n=10,t=0.2)",0.0001,0.764897391,0.262653705,0.712437483,,,,,,,,,,,,
cit_hepph,"SC(n=10,t=0.2)",0.001,0.991576058,0.998679942,0.991172384,,,,,,,,,,,,
cit_hepph,"SC(n=10,t=0.2)",0.01,0.99764104,0.997686042,0.996067024,,,,,,,,,,,,
cit_hepph,"SC(n=10,t=0.2)",0.1,0.695281586,0.059406802,0.44256712,,,,,,,,,,,,
cit_hepph,"SC(n=10,t=0.2)",0.5,0.677112942,0.005262858,0.074209098,,,,,,,,,,,,
cit_hepph,FastEnsemble,mod,0.994888951,0.999159344,,,,,,,,,,,,,
cit_hepph,FastEnsemble,0.0001,0.970176578,0.710582421,,,,,,,,,,,,,
cit_hepph,FastEnsemble,0.001,0.995690922,0.999397112,,,,,,,,,,,,,
cit_hepph,FastEnsemble,0.01,0.997790419,0.997814418,,,,,,,,,,,,,
cit_hepph,FastEnsemble,0.1,0.653663664,0.003860773,,,,,,,,,,,,,
cit_hepph,FastEnsemble,0.5,0.70095167,0,,,,,,,,,,,,,
cit_patents,Leiden,mod,0.774904894,0.137366806,0.649337369,7,4950,22.018269,11,171438,3774768,3774768,1,1,4.621754273,0.478485059,0
cit_patents,Leiden,0.0001,0.889442099,0.33460418,0.686944015,6,3388,11.13806442,8,338907,3774768,3774768,1,0.999997049,4.659506518,0.720121685,0
cit_patents,Leiden,0.001,0.956927485,0.546786381,0.850394986,13,407,16.93427304,15,222907,3774768,3774768,1,1,3.275267193,0,0
cit_patents,Leiden,0.01,0.980811526,0.756670719,0.924720165,5,802,11.81945649,7,319369,3774768,3774768,1,0.999827785,3.785873586,0.733024392,0
cit_patents,Leiden,0.1,0.995453266,0.925186206,0.975352351,8,256,10.39451466,9,363150,3774768,3774768,1,0.997918216,2.699081503,0.703767854,2.48E-05
cit_patents,Leiden,0.5,0.937605689,0.113437806,0.160553269,3,112,3.797534218,3,994005,3774768,3774768,1,0.845907214,1.893368312,0.988343129,0.146894633
cit_patents,post-CM,mod,0.958543295,0.988598813,0.85918014,7,4950,22.018269,11,171438,2378230,3774768,0.630033422,1,4.621754273,0.478485059,0
cit_patents,post-CM,0.0001,0.960297654,0.899675086,0.783317326,6,3388,11.13806442,8,338907,2113225,3774768,0.559829107,0.999997049,4.659506518,0.720121685,0
cit_patents,post-CM,0.001,0.998025858,0.953776963,0.991676291,13,407,16.93427304,15,222907,3774768,3774768,1,1,3.275267193,0,0
cit_patents,post-CM,0.01,0.96364453,0.749090793,0.817289388,5,802,11.81945649,7,319369,2187053,3774768,0.579387395,0.999827785,3.785873586,0.733024392,0
cit_patents,post-CM,0.1,0.946752831,0.612853244,0.573581391,8,256,10.39451466,9,363150,1381080,3774768,0.365871492,0.997918216,2.699081503,0.703767854,2.48E-05
cit_patents,post-CM,0.5,0.951129802,4.53E-05,-0.000226806,3,112,3.797534218,3,994005,26,3774768,6.89E-06,0.845907214,1.893368312,0.988343129,0.146894633
cit_patents,FastEnsemble,mod,0.991553299,0.851109429,,,,,,,,,,,,,
cit_patents,FastEnsemble,0.0001,0.996554557,0.973377956,,,,,,,,,,,,,
cit_patents,FastEnsemble,0.001,0.999833102,0.996026795,,,,,,,,,,,,,
cit_patents,FastEnsemble,0.01,0.990036814,0.73371968,,,,,,,,,,,,,
cit_patents,FastEnsemble,0.1,0.992581932,0.891938628,,,,,,,,,,,,,
cit_patents,FastEnsemble,0.5,0.951213865,0.00352892,,,,,,,,,,,,,
wiki_topcats,Leiden,mod,0.825196491,0.099028246,0.726260106,37,820,54.9654527,46,32593,1791489,1791489,1,1,4.689456973,0,0
wiki_topcats,Leiden,0.0001,0.974975373,0.983176759,0.967973591,7,4890,115.2750145,19,15541,1791489,1791489,1,1,4.70230981,0.268562605,0
wiki_topcats,Leiden,0.001,0.980080718,0.959948755,0.966950883,6,4742,46.22362412,12,38757,1791489,1791489,1,0.999948396,3.943583666,0.449249187,0
wiki_topcats,Leiden,0.01,0.970516998,0.66863675,0.904845674,5,2490,13.97788025,7,128166,1791489,1791489,1,0.999352402,3.430866564,0.701381791,0
wiki_topcats,Leiden,0.1,0.987910441,0.828967366,0.933874184,5,502,8.047404286,6,222617,1791489,1791489,1,0.992511803,2.46112459,0.854634396,0.000130269
wiki_topcats,Leiden,0.5,,,,,,,,,,,,,,,
wiki_topcats,post-CM,mod,0.995137931,0.949039459,0.98762368,37,820,54.9654527,46,32593,1761492,1791489,0.983255828,1,4.689456973,0,0
wiki_topcats,post-CM,0.0001,0.996107122,0.998653886,0.994730143,7,4890,115.2750145,19,15541,1757473,1791489,0.981012443,1,4.70230981,0.268562605,0
