net,type,res,acc_value,acc_measure
cen,Leiden,mod,0.897322241,NMI
cen,Leiden,0.0001,0.913925461,NMI
cen,Leiden,0.001,0.957911209,NMI
cen,Leiden,0.01,0.99639274,NMI
cen,post-CM,mod,0.990466746,NMI
cen,post-CM,0.0001,0.981004785,NMI
cen,post-CM,0.001,0.970557562,NMI
cen,post-CM,0.01,0.997614152,NMI
cen,post-CM,0.1,0.894757507,NMI
cen,post-CM,0.5,0.810251414,NMI
cen,FastEnsemble,mod,0.988158954,NMI
cen,FastEnsemble,0.0001,0.990290666,NMI
cen,FastEnsemble,0.001,0.998013787,NMI
cen,FastEnsemble,0.01,0.986330042,NMI
cen,FastEnsemble(tr=0.9),mod,,NMI
cen,FastEnsemble(tr=0.9),0.0001,0.992966379,NMI
cen,FastEnsemble(tr=0.9),0.001,0.998759222,NMI
cen,FastEnsemble(tr=0.9),0.01,0.978462452,NMI
open_citations,Leiden,mod,0.837788214,NMI
open_citations,Leiden,0.0001,0.868779951,NMI
open_citations,Leiden,0.001,0.960952351,NMI
open_citations,Leiden,0.01,1,NMI
open_citations,Leiden,0.1,0.983871243,NMI
open_citations,Leiden,0.5,0.833434144,NMI
open_citations,post-CM,mod,0.998302263,NMI
open_citations,post-CM,0.0001,0.96992749,NMI
open_citations,post-CM,0.001,0.972939595,NMI
open_citations,post-CM,0.01,1,NMI
open_citations,post-CM,0.1,0.98363766,NMI
open_citations,post-CM,0.5,0.854910141,NMI
open_citations,FastEnsemble,mod,0.988903179,NMI
open_citations,FastEnsemble,0.0001,0.987897589,NMI
open_citations,FastEnsemble,0.001,0.99246895,NMI
open_citations,FastEnsemble,0.01,1,NMI
open_citations,FastEnsemble,0.1,0.979505719,NMI
open_citations,FastEnsemble,0.5,0.854822444,NMI
open_citations,FastEnsemble(tr=0.9),mod,,NMI
open_citations,FastEnsemble(tr=0.9),0.0001,0.991503786,NMI
open_citations,FastEnsemble(tr=0.9),0.001,0.994287947,NMI
open_citations,FastEnsemble(tr=0.9),0.01,1,NMI
open_citations,FastEnsemble(tr=0.9),0.1,0.854793808,NMI
open_citations,FastEnsemble(tr=0.9),0.5,0.854793808,NMI
cit_hepph,Leiden,mod,0.994698926,NMI
cit_hepph,Leiden,0.0001,0.713439316,NMI
cit_hepph,Leiden,0.001,0.991948116,NMI
cit_hepph,Leiden,0.01,0.997632626,NMI
cit_hepph,Leiden,0.1,0.682662266,NMI
cit_hepph,Leiden,0.5,0.664456338,NMI
cit_hepph,post-CM,mod,0.991985432,NMI
cit_hepph,post-CM,0.0001,0.753057493,NMI
cit_hepph,post-CM,0.001,0.996041301,NMI
cit_hepph,post-CM,0.01,0.997632626,NMI
cit_hepph,post-CM,0.1,0.689821513,NMI
