net,type,res,time,time_text,modularity,
cen,Leiden,mod,151,2m 31s,0.822004656,
cen,Leiden,0.0001,834,13m 54s,0.60522063,
cen,Leiden,0.001,817,13m 37s,0.485857523,
cen,Leiden,0.01,805,13m 25s,0.339302229,
cen,post-CM,mod,,,,
cen,post-CM,0.0001,,,,
cen,post-CM,0.001,,,,
cen,post-CM,0.01,,,,
cen,post-CM,0.1,,,,
cen,post-CM,0.5,,,,
cen,FastEnsemble,mod,"43,727",12h 8m 47s,0.820615738,
cen,FastEnsemble,0.0001,"4,368",1h 12m 48s,0.599216245,
cen,FastEnsemble,0.001,"4,039",1h 7m 19s,0.478599438,
cen,FastEnsemble,0.01,"3,967",1h 6m 7s,0.328890427,
cen,FastEnsemble(tr=0.9),mod,,,,
cen,FastEnsemble(tr=0.9),0.0001,,,,
cen,FastEnsemble(tr=0.9),0.001,,,,
cen,FastEnsemble(tr=0.9),0.01,,,,
open_citations,Leiden,mod,217,3m 37s,0.872869439,
open_citations,Leiden,0.0001,1850,30m 50s,0.569347493,
open_citations,Leiden,0.001,1781,29m 41s,0.499401582,
open_citations,Leiden,0.01,1588,26m 28s,0.394551761,
open_citations,Leiden,0.1,1817,30m 17s,0.285771816,
open_citations,Leiden,0.5,2193,36m 33s,0.039156137,
open_citations,post-CM,mod,,,,
open_citations,post-CM,0.0001,,,,
open_citations,post-CM,0.001,,,,
open_citations,post-CM,0.01,,,,
open_citations,post-CM,0.1,,,,
open_citations,post-CM,0.5,,,,
open_citations,FastEnsemble,mod,"100,326",1d 3h 52m 6s,0.871040473,
open_citations,FastEnsemble,0.0001,"9,298",2h 34m 58s,0.587331457,
open_citations,FastEnsemble,0.001,"6,204",1h 43m 24s,0.499273618,
open_citations,FastEnsemble,0.01,"6,231",1h 43m 51s,0.394562671,
open_citations,FastEnsemble,0.1,"9,545",2h 39m 5s,0.258722786,
open_citations,FastEnsemble,0.5,"7,857",2h 10m 57s,0.000103369,
open_citations,FastEnsemble(tr=0.9),mod,,,,
open_citations,FastEnsemble(tr=0.9),0.0001,,,,
open_citations,FastEnsemble(tr=0.9),0.001,,,,
open_citations,FastEnsemble(tr=0.9),0.01,,,,
open_citations,FastEnsemble(tr=0.9),0.1,,,,
open_citations,FastEnsemble(tr=0.9),0.5,,,,
cit_hepph,Leiden,mod,3,3s,0.802389123,
cit_hepph,Leiden,0.0001,20,20s,0.880517261,
cit_hepph,Leiden,0.001,21,21s,0.745487383,
cit_hepph,Leiden,0.01,21,21s,0.611498806,
cit_hepph,Leiden,0.1,24,24s,0.113551007,
cit_hepph,Leiden,0.5,23,23s,0.041195587,
cit_hepph,post-CM,mod,,,,
cit_hepph,post-CM,0.0001,,,,
cit_hepph,post-CM,0.001,,,,
