,k,n,res,method,partition,acc_measure,acc_value
0,90,10,0.001,leiden-cpm,Leiden-CPM,NMI,0.8062493123093708
1,90,10,0.001,leiden-cpm,Leiden-CPM,AMI,0.0
2,90,10,0.001,leiden-cpm,Leiden-CPM,ARI,0.33974735605170386
3,90,10,0.001,leiden-cpm,Leiden-CPM,FPR,0.0
4,90,10,0.001,leiden-cpm,Leiden-CPM,FNR,0.0
5,90,10,0.001,leiden-cpm,Leiden-CPM,Precision,0.0
6,90,10,0.001,leiden-cpm,Leiden-CPM,Recall,0.0
7,90,10,0.001,leiden-cpm,Leiden-CPM,F1-Score,0.0
8,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",NMI,0.8700321650307709
9,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",AMI,0.0
10,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",ARI,0.45717847334489004
11,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FPR,0.0
12,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FNR,0.0
13,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Precision,0.0
14,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Recall,0.0
15,90,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",F1-Score,0.0
16,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",NMI,0.9843550847472665
17,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",AMI,0.0
18,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",ARI,0.8988865144528174
19,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FPR,0.0
20,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FNR,0.0
21,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Precision,0.0
22,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Recall,0.0
23,90,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",F1-Score,0.0
24,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",NMI,1.0
25,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",AMI,0.0
26,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",ARI,1.0
27,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FPR,0.0
28,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FNR,0.0
29,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Precision,0.0
30,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Recall,0.0
31,90,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",F1-Score,0.0
32,100,10,0.001,leiden-cpm,Leiden-CPM,NMI,0.8009855561520409
33,100,10,0.001,leiden-cpm,Leiden-CPM,AMI,0.0
34,100,10,0.001,leiden-cpm,Leiden-CPM,ARI,0.31820002670583525
35,100,10,0.001,leiden-cpm,Leiden-CPM,FPR,0.0
36,100,10,0.001,leiden-cpm,Leiden-CPM,FNR,0.0
37,100,10,0.001,leiden-cpm,Leiden-CPM,Precision,0.0
38,100,10,0.001,leiden-cpm,Leiden-CPM,Recall,0.0
39,100,10,0.001,leiden-cpm,Leiden-CPM,F1-Score,0.0
40,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",NMI,0.8737683334174515
41,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",AMI,0.0
42,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",ARI,0.45639480128084386
43,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FPR,0.0
44,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FNR,0.0
45,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Precision,0.0
46,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Recall,0.0
47,100,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",F1-Score,0.0
48,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",NMI,0.9887711538010321
49,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",AMI,0.0
50,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",ARI,0.9175640549572966
51,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FPR,0.0
52,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FNR,0.0
53,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Precision,0.0
54,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Recall,0.0
55,100,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",F1-Score,0.0
56,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",NMI,1.0
57,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",AMI,0.0
58,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",ARI,1.0
59,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FPR,0.0
60,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FNR,0.0
61,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Precision,0.0
62,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Recall,0.0
63,100,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",F1-Score,0.0
64,500,10,0.001,leiden-cpm,Leiden-CPM,NMI,0.864810323088206
65,500,10,0.001,leiden-cpm,Leiden-CPM,AMI,0.0
66,500,10,0.001,leiden-cpm,Leiden-CPM,ARI,0.3415477641840604
67,500,10,0.001,leiden-cpm,Leiden-CPM,FPR,0.0
68,500,10,0.001,leiden-cpm,Leiden-CPM,FNR,0.0
69,500,10,0.001,leiden-cpm,Leiden-CPM,Precision,0.0
70,500,10,0.001,leiden-cpm,Leiden-CPM,Recall,0.0
71,500,10,0.001,leiden-cpm,Leiden-CPM,F1-Score,0.0
72,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",NMI,0.906284097077144
73,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",AMI,0.0
74,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",ARI,0.45073077500758546
75,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FPR,0.0
76,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FNR,0.0
77,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Precision,0.0
78,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Recall,0.0
79,500,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",F1-Score,0.0
80,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",NMI,0.9903708185021385
81,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",AMI,0.0
82,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",ARI,0.9107561923247955
83,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FPR,0.0
