,n,mu,partition,acc_measure,acc_value
0,10000,0.1,Leiden-MOD,NMI,0.9655256598814245
1,10000,0.1,Leiden-MOD,AMI,0.0
2,10000,0.1,Leiden-MOD,ARI,0.9431914851676592
3,10000,0.1,Leiden-MOD,FPR,0.0
4,10000,0.1,Leiden-MOD,FNR,0.0
5,10000,0.1,Leiden-MOD,Precision,0.0
6,10000,0.1,Leiden-MOD,Recall,0.0
7,10000,0.1,Leiden-MOD,F1-Score,0.0
8,10000,0.1,ECG,NMI,0.9979911121071425
9,10000,0.1,ECG,AMI,0.0
10,10000,0.1,ECG,ARI,0.9985906170849009
11,10000,0.1,ECG,FPR,0.0
12,10000,0.1,ECG,FNR,0.0
13,10000,0.1,ECG,Precision,0.0
14,10000,0.1,ECG,Recall,0.0
15,10000,0.1,ECG,F1-Score,0.0
16,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.9633783463170262
17,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
18,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.9386996581946339
19,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
20,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
21,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
22,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
23,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
24,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.9680578883340124
25,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
26,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.9469778034125734
27,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
28,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
29,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
30,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
31,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
32,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.9798113731654703
33,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
34,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.9679753787929117
35,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
36,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
37,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
38,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
39,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
40,10000,0.2,Leiden-MOD,NMI,0.95480135927853
41,10000,0.2,Leiden-MOD,AMI,0.0
42,10000,0.2,Leiden-MOD,ARI,0.9178652772829943
