,k,n,res,method,partition,acc_measure,acc_value
0,90,10,mod,Leiden-mod,Leiden-mod,NMI,1
1,90,10,mod,Leiden-mod,Leiden-mod,AMI,1
2,90,10,mod,Leiden-mod,Leiden-mod,ARI,1
3,90,10,mod,Leiden-mod,Leiden-mod,FPR,0
4,90,10,mod,Leiden-mod,Leiden-mod,FNR,0
5,90,10,mod,Leiden-mod,Leiden-mod,Precision,1
6,90,10,mod,Leiden-mod,Leiden-mod,Recall,1
7,90,10,mod,Leiden-mod,Leiden-mod,F1-Score,1
8,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,1
9,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,1
10,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,1
11,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FPR,0
12,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FNR,0
13,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Precision,1
14,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Recall,1
15,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",F1-Score,1
,90,10,mod,louvain,FastConsensus(Louvain),NMI,1
,90,10,mod,louvain,FastConsensus(Louvain),AMI,1
,90,10,mod,louvain,FastConsensus(Louvain),ARI,1
,90,10,mod,louvain,FastConsensus(Louvain),FPR,0
,90,10,mod,louvain,FastConsensus(Louvain),FNR,0
,90,10,mod,louvain,FastConsensus(Louvain),Precision,1
,90,10,mod,louvain,FastConsensus(Louvain),Recall,1
,90,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
16,90,10,mod,Leiden-mod,ECG,NMI,1
17,90,10,mod,Leiden-mod,ECG,AMI,1
18,90,10,mod,Leiden-mod,ECG,ARI,1
19,90,10,mod,Leiden-mod,ECG,FPR,0
20,90,10,mod,Leiden-mod,ECG,FNR,0
21,90,10,mod,Leiden-mod,ECG,Precision,1
22,90,10,mod,Leiden-mod,ECG,Recall,1
23,90,10,mod,Leiden-mod,ECG,F1-Score,1
24,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,1
25,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,1
26,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,1
27,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0
28,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
29,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Precision,1
30,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Recall,1
31,90,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,1
32,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
33,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
34,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
35,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
36,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
37,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Precision,1
38,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Recall,1
39,90,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,1
40,100,10,mod,Leiden-mod,Leiden-mod,NMI,0.932517721
41,100,10,mod,Leiden-mod,Leiden-mod,AMI,0.882993627
42,100,10,mod,Leiden-mod,Leiden-mod,ARI,0.677994198
43,100,10,mod,Leiden-mod,Leiden-mod,FPR,0.008484848
44,100,10,mod,Leiden-mod,Leiden-mod,FNR,0
45,100,10,mod,Leiden-mod,Leiden-mod,Precision,0.517241379
46,100,10,mod,Leiden-mod,Leiden-mod,Recall,1
47,100,10,mod,Leiden-mod,Leiden-mod,F1-Score,0.681818182
