,k,n,res,method,partition,acc_measure,acc_value
0,90,10,mod,leiden-mod,Leiden-MOD,NMI,1.0
1,90,10,mod,leiden-mod,Leiden-MOD,AMI,0.0
2,90,10,mod,leiden-mod,Leiden-MOD,ARI,1.0
3,90,10,mod,leiden-mod,Leiden-MOD,FPR,0.0
4,90,10,mod,leiden-mod,Leiden-MOD,FNR,0.0
5,90,10,mod,leiden-mod,Leiden-MOD,Precision,0.0
6,90,10,mod,leiden-mod,Leiden-MOD,Recall,0.0
7,90,10,mod,leiden-mod,Leiden-MOD,F1-Score,0.0
8,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),NMI,1.0
9,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),AMI,0.0
10,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),ARI,1.0
11,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FPR,0.0
12,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FNR,0.0
13,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Precision,0.0
14,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Recall,0.0
15,90,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),F1-Score,0.0
16,90,10,mod,leiden-mod,ECG,NMI,1.0
17,90,10,mod,leiden-mod,ECG,AMI,0.0
18,90,10,mod,leiden-mod,ECG,ARI,1.0
19,90,10,mod,leiden-mod,ECG,FPR,0.0
20,90,10,mod,leiden-mod,ECG,FNR,0.0
21,90,10,mod,leiden-mod,ECG,Precision,0.0
22,90,10,mod,leiden-mod,ECG,Recall,0.0
23,90,10,mod,leiden-mod,ECG,F1-Score,0.0
24,100,10,mod,leiden-mod,Leiden-MOD,NMI,0.9325177209765827
25,100,10,mod,leiden-mod,Leiden-MOD,AMI,0.0
26,100,10,mod,leiden-mod,Leiden-MOD,ARI,0.6779941980936594
27,100,10,mod,leiden-mod,Leiden-MOD,FPR,0.0
28,100,10,mod,leiden-mod,Leiden-MOD,FNR,0.0
29,100,10,mod,leiden-mod,Leiden-MOD,Precision,0.0
30,100,10,mod,leiden-mod,Leiden-MOD,Recall,0.0
31,100,10,mod,leiden-mod,Leiden-MOD,F1-Score,0.0
32,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),NMI,1.0
33,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),AMI,0.0
34,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),ARI,1.0
35,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FPR,0.0
36,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FNR,0.0
37,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Precision,0.0
38,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Recall,0.0
39,100,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),F1-Score,0.0
40,100,10,mod,leiden-mod,ECG,NMI,1.0
41,100,10,mod,leiden-mod,ECG,AMI,0.0
42,100,10,mod,leiden-mod,ECG,ARI,1.0
43,100,10,mod,leiden-mod,ECG,FPR,0.0
44,100,10,mod,leiden-mod,ECG,FNR,0.0
45,100,10,mod,leiden-mod,ECG,Precision,0.0
46,100,10,mod,leiden-mod,ECG,Recall,0.0
47,100,10,mod,leiden-mod,ECG,F1-Score,0.0
48,500,10,mod,leiden-mod,Leiden-MOD,NMI,0.8977028410157182
49,500,10,mod,leiden-mod,Leiden-MOD,AMI,0.0
50,500,10,mod,leiden-mod,Leiden-MOD,ARI,0.4471098259537563
