,k,n,res,method,partition,acc_measure,acc_value
0,90,10,mod,leiden-mod,Leiden-mod,NMI,1
1,90,10,mod,leiden-mod,Leiden-mod,AMI,1
2,90,10,mod,leiden-mod,Leiden-mod,ARI,1
3,90,10,mod,leiden-mod,Leiden-mod,FPR,0
4,90,10,mod,leiden-mod,Leiden-mod,FNR,0
5,90,10,mod,leiden-mod,Leiden-mod,Precision,0
6,90,10,mod,leiden-mod,Leiden-mod,Recall,0
7,90,10,mod,leiden-mod,Leiden-mod,F1-Score,0
8,90,10,mod,louvain,Louvain,NMI,1
9,90,10,mod,louvain,Louvain,AMI,1
10,90,10,mod,louvain,Louvain,ARI,1
11,90,10,mod,louvain,Louvain,FPR,0
12,90,10,mod,louvain,Louvain,FNR,0
13,90,10,mod,louvain,Louvain,Precision,0
14,90,10,mod,louvain,Louvain,Recall,0
15,90,10,mod,louvain,Louvain,F1-Score,0
16,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),NMI,1
17,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),AMI,1
18,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),ARI,1
19,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FPR,0
20,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FNR,0
21,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Precision,0
22,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Recall,0
23,90,10,mod,leiden-mod,FastEnsemble(Leiden-mod),F1-Score,0
24,90,10,mod,louvain,FastEnsemble(Louvain),NMI,1
25,90,10,mod,louvain,FastEnsemble(Louvain),AMI,1
26,90,10,mod,louvain,FastEnsemble(Louvain),ARI,1
27,90,10,mod,louvain,FastEnsemble(Louvain),FPR,0
28,90,10,mod,louvain,FastEnsemble(Louvain),FNR,0
29,90,10,mod,louvain,FastEnsemble(Louvain),Precision,0
30,90,10,mod,louvain,FastEnsemble(Louvain),Recall,0
31,90,10,mod,louvain,FastEnsemble(Louvain),F1-Score,0
32,90,10,mod,leiden-mod,ECG,NMI,1
33,90,10,mod,leiden-mod,ECG,AMI,1
34,90,10,mod,leiden-mod,ECG,ARI,1
35,90,10,mod,leiden-mod,ECG,FPR,0
36,90,10,mod,leiden-mod,ECG,FNR,0
37,90,10,mod,leiden-mod,ECG,Precision,0
38,90,10,mod,leiden-mod,ECG,Recall,0
39,90,10,mod,leiden-mod,ECG,F1-Score,0
40,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",NMI,1
41,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",AMI,1
42,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",ARI,1
43,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0
44,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
45,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0
46,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Recall,0
47,90,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0
48,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
49,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
50,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
51,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
52,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
53,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Precision,0
54,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Recall,0
55,90,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,0
56,100,10,mod,leiden-mod,Leiden-mod,NMI,0.92907637
57,100,10,mod,leiden-mod,Leiden-mod,AMI,0.877984594
58,100,10,mod,leiden-mod,Leiden-mod,ARI,0.667664671
59,100,10,mod,leiden-mod,Leiden-mod,FPR,0
60,100,10,mod,leiden-mod,Leiden-mod,FNR,0
61,100,10,mod,leiden-mod,Leiden-mod,Precision,0
