,n,mu,rep1,rep2,method,acc_measure,acc_value
0,10000,0.1,0,1,ECG,NMI,0.9985210672711193
1,10000,0.1,0,1,ECG,ARI,0.998904903201601
2,10000,0.1,0,1,ECG,AMI,0.9982598659544726
3,10000,0.1,0,1,Leiden-mod,NMI,0.9762248816817805
4,10000,0.1,0,1,Leiden-mod,ARI,0.9634600396258782
5,10000,0.1,0,1,Leiden-mod,AMI,0.9741314854736528
6,10000,0.1,0,1,FastEnsemble,NMI,0.9963769048185459
7,10000,0.1,0,1,FastEnsemble,ARI,0.9918754751938003
8,10000,0.1,0,1,FastEnsemble,AMI,0.9959307437250319
9,10000,0.2,0,1,ECG,NMI,0.9987747942878312
10,10000,0.2,0,1,ECG,ARI,0.9992631164349989
11,10000,0.2,0,1,ECG,AMI,0.9985578918418684
12,10000,0.2,0,1,Leiden-mod,NMI,0.967956304852395
13,10000,0.2,0,1,Leiden-mod,ARI,0.9393052671303738
14,10000,0.2,0,1,Leiden-mod,AMI,0.9656987107141067
15,10000,0.2,0,1,FastEnsemble,NMI,0.9931909085604005
16,10000,0.2,0,1,FastEnsemble,ARI,0.9887906735112489
17,10000,0.2,0,1,FastEnsemble,AMI,0.9923847006914294
18,10000,0.3,0,1,ECG,NMI,0.9841347904857635
19,10000,0.3,0,1,ECG,ARI,0.970268522094869
20,10000,0.3,0,1,ECG,AMI,0.9816664384857781
21,10000,0.3,0,1,Leiden-mod,NMI,0.9376362470592472
22,10000,0.3,0,1,Leiden-mod,ARI,0.8736670675554996
23,10000,0.3,0,1,Leiden-mod,AMI,0.9345184352585616
24,10000,0.3,0,1,FastEnsemble,NMI,0.9931857422446345
25,10000,0.3,0,1,FastEnsemble,ARI,0.9889237709421761
26,10000,0.3,0,1,FastEnsemble,AMI,0.9923103461488634
27,10000,0.4,0,1,ECG,NMI,0.8908760893053654
28,10000,0.4,0,1,ECG,ARI,0.7334789498243857
29,10000,0.4,0,1,ECG,AMI,0.8791544868167945
30,10000,0.4,0,1,Leiden-mod,NMI,0.6704908164261284
31,10000,0.4,0,1,Leiden-mod,ARI,0.46032369057988415
32,10000,0.4,0,1,Leiden-mod,AMI,0.6615798560618367
33,10000,0.4,0,1,FastEnsemble,NMI,0.9726231152052134
34,10000,0.4,0,1,FastEnsemble,ARI,0.9301410476412836
35,10000,0.4,0,1,FastEnsemble,AMI,0.9629548061963538
36,10000,0.5,0,1,ECG,NMI,0.5234354830333273
37,10000,0.5,0,1,ECG,ARI,0.3372983356385817
38,10000,0.5,0,1,ECG,AMI,0.4989012482271268
39,10000,0.5,0,1,Leiden-mod,NMI,0.22401083684747009
40,10000,0.5,0,1,Leiden-mod,ARI,0.13738622844709278
41,10000,0.5,0,1,Leiden-mod,AMI,0.21578386683862555
42,10000,0.5,0,1,FastEnsemble,NMI,0.9371079900977216
43,10000,0.5,0,1,FastEnsemble,ARI,0.6794858974653081
44,10000,0.5,0,1,FastEnsemble,AMI,0.7934107091992431
45,10000,0.6,0,1,ECG,NMI,0.24015698093486282
46,10000,0.6,0,1,ECG,ARI,0.23600957206833234
47,10000,0.6,0,1,ECG,AMI,0.22728151255825926
48,10000,0.6,0,1,Leiden-mod,NMI,0.07137108375691556
49,10000,0.6,0,1,Leiden-mod,ARI,0.060001520424486754
50,10000,0.6,0,1,Leiden-mod,AMI,0.06781276713403299
51,10000,0.6,0,1,FastEnsemble,NMI,0.952939897675091
52,10000,0.6,0,1,FastEnsemble,ARI,0.5729334761907623
53,10000,0.6,0,1,FastEnsemble,AMI,0.6535765052331269
54,10000,0.7,0,1,ECG,NMI,0.09157444718157944
55,10000,0.7,0,1,ECG,ARI,0.0778528831389931
56,10000,0.7,0,1,ECG,AMI,0.08100004090294953
57,10000,0.7,0,1,Leiden-mod,NMI,0.042633429817186826
58,10000,0.7,0,1,Leiden-mod,ARI,0.04290517754118274
59,10000,0.7,0,1,Leiden-mod,AMI,0.03950010164914038
60,10000,0.7,0,1,FastEnsemble,NMI,0.9580381120444579
61,10000,0.7,0,1,FastEnsemble,ARI,0.3272471672978762
62,10000,0.7,0,1,FastEnsemble,AMI,0.43267546234338256
63,10000,0.8,0,1,ECG,NMI,0.09706241905911075
64,10000,0.8,0,1,ECG,ARI,0.036650740763099765
65,10000,0.8,0,1,ECG,AMI,0.06697234860029108
66,10000,0.8,0,1,Leiden-mod,NMI,0.01976931713373604
67,10000,0.8,0,1,Leiden-mod,ARI,0.017655304936740463
68,10000,0.8,0,1,Leiden-mod,AMI,0.017056291897108663
69,10000,0.8,0,1,FastEnsemble,NMI,0.9820798475345367
70,10000,0.8,0,1,FastEnsemble,ARI,0.1411468675912804
71,10000,0.8,0,1,FastEnsemble,AMI,0.2707506195933766
72,10000,0.9,0,1,ECG,NMI,0.11295579290337388
73,10000,0.9,0,1,ECG,ARI,0.010759009829026209
74,10000,0.9,0,1,ECG,AMI,0.0729283654772002
75,10000,0.9,0,1,Leiden-mod,NMI,0.010562396965619492
76,10000,0.9,0,1,Leiden-mod,ARI,0.004220633316690865
77,10000,0.9,0,1,Leiden-mod,AMI,0.008135831533010885
78,10000,0.9,0,1,FastEnsemble,NMI,0.987638813408076
79,10000,0.9,0,1,FastEnsemble,ARI,0.2550830711709375
80,10000,0.9,0,1,FastEnsemble,AMI,0.2537589388243864
