,n,mu,partition,acc_measure,acc_value
0,10000,0.1,Leiden-MOD,NMI,0.902011977
1,10000,0.1,Leiden-MOD,ARI,0.537048656
,10000,0.1,Leiden-MOD,AMI,0.837571378
2,10000,0.1,ECG,NMI,0.997764446
3,10000,0.1,ECG,ARI,0.991023038
,10000,0.1,ECG,AMI,0.995267204
4,10000,0.1,FastEnsemble(Leiden-MOD),NMI,0.969842673
5,10000,0.1,FastEnsemble(Leiden-MOD),ARI,0.803742155
,10000,0.1,FastEnsemble(Leiden-MOD),AMI,0.940963254
6,10000,0.2,Leiden-MOD,NMI,0.883485435
7,10000,0.2,Leiden-MOD,ARI,0.464585651
,10000,0.2,Leiden-MOD,AMI,0.81650036
8,10000,0.2,ECG,NMI,0.995501512
9,10000,0.2,ECG,ARI,0.982178188
,10000,0.2,ECG,AMI,0.990693963
10,10000,0.2,FastEnsemble(Leiden-MOD),NMI,0.966170025
11,10000,0.2,FastEnsemble(Leiden-MOD),ARI,0.772339804
,10000,0.2,FastEnsemble(Leiden-MOD),AMI,0.935380721
12,10000,0.3,Leiden-MOD,NMI,0.864422256
13,10000,0.3,Leiden-MOD,ARI,0.402537072
,10000,0.3,Leiden-MOD,AMI,0.791493375
14,10000,0.3,ECG,NMI,0.992816415
15,10000,0.3,ECG,ARI,0.96965388
,10000,0.3,ECG,AMI,0.984986221
16,10000,0.3,FastEnsemble(Leiden-MOD),NMI,0.965475049
17,10000,0.3,FastEnsemble(Leiden-MOD),ARI,0.76375936
,10000,0.3,FastEnsemble(Leiden-MOD),AMI,0.933042208
18,10000,0.4,Leiden-MOD,NMI,0.853756815
19,10000,0.4,Leiden-MOD,ARI,0.381773992
,10000,0.4,Leiden-MOD,AMI,0.784652316
20,10000,0.4,ECG,NMI,0.990205418
21,10000,0.4,ECG,ARI,0.961733536
,10000,0.4,ECG,AMI,0.980361522
22,10000,0.4,FastEnsemble(Leiden-MOD),NMI,0.968660014
23,10000,0.4,FastEnsemble(Leiden-MOD),ARI,0.778410226
,10000,0.4,FastEnsemble(Leiden-MOD),AMI,0.940592591
24,10000,0.5,Leiden-MOD,NMI,0.82722219
25,10000,0.5,Leiden-MOD,ARI,0.307108737
,10000,0.5,Leiden-MOD,AMI,0.756849112
26,10000,0.5,ECG,NMI,0.987930487
27,10000,0.5,ECG,ARI,0.949362845
,10000,0.5,ECG,AMI,0.975942913
28,10000,0.5,FastEnsemble(Leiden-MOD),NMI,0.973003701
29,10000,0.5,FastEnsemble(Leiden-MOD),ARI,0.786145197
,10000,0.5,FastEnsemble(Leiden-MOD),AMI,0.94820095
30,10000,0.6,Leiden-MOD,NMI,0.804327325
31,10000,0.6,Leiden-MOD,ARI,0.266200899
,10000,0.6,Leiden-MOD,AMI,0.736159624
32,10000,0.6,ECG,NMI,0.980901749
33,10000,0.6,ECG,ARI,0.92517856
,10000,0.6,ECG,AMI,0.963168853
34,10000,0.6,FastEnsemble(Leiden-MOD),NMI,0.976813405
35,10000,0.6,FastEnsemble(Leiden-MOD),ARI,0.811560539
,10000,0.6,FastEnsemble(Leiden-MOD),AMI,0.955632164
36,10000,0.7,Leiden-MOD,NMI,0.765276614
37,10000,0.7,Leiden-MOD,ARI,0.191160284
,10000,0.7,Leiden-MOD,AMI,0.694451539
38,10000,0.7,ECG,NMI,0.967617038
39,10000,0.7,ECG,ARI,0.842217362
,10000,0.7,ECG,AMI,0.938032592
40,10000,0.7,FastEnsemble(Leiden-MOD),NMI,0.984924442
41,10000,0.7,FastEnsemble(Leiden-MOD),ARI,0.858748518
,10000,0.7,FastEnsemble(Leiden-MOD),AMI,0.969599842
42,10000,0.8,Leiden-MOD,NMI,0.433609202
43,10000,0.8,Leiden-MOD,ARI,0.024534137
,10000,0.8,Leiden-MOD,AMI,0.340216387
44,10000,0.8,ECG,NMI,0.736201989
45,10000,0.8,ECG,ARI,0.151138465
,10000,0.8,ECG,AMI,0.604033753
46,10000,0.8,FastEnsemble(Leiden-MOD),NMI,0.874632112
47,10000,0.8,FastEnsemble(Leiden-MOD),ARI,0.379406291
,10000,0.8,FastEnsemble(Leiden-MOD),AMI,0.590067576
48,10000,0.9,Leiden-MOD,NMI,0.12582115
49,10000,0.9,Leiden-MOD,ARI,0.001079884
,10000,0.9,Leiden-MOD,AMI,0.037671272
50,10000,0.9,ECG,NMI,0.25573616
51,10000,0.9,ECG,ARI,0.002977529
,10000,0.9,ECG,AMI,0.050172102
52,10000,0.9,FastEnsemble(Leiden-MOD),NMI,0.805258139
53,10000,0.9,FastEnsemble(Leiden-MOD),ARI,0.001689006
,10000,0.9,FastEnsemble(Leiden-MOD),AMI,0.008011863
54,10000,0.1,FastConsensus(Louvain),NMI,1
55,10000,0.1,FastConsensus(Louvain),ARI,1
,10000,0.1,FastConsensus(Louvain),AMI,1
56,10000,0.2,FastConsensus(Louvain),NMI,0.999894216
57,10000,0.2,FastConsensus(Louvain),ARI,0.999607787
,10000,0.2,FastConsensus(Louvain),AMI,0.999778141
58,10000,0.3,FastConsensus(Louvain),NMI,1
59,10000,0.3,FastConsensus(Louvain),ARI,1
,10000,0.3,FastConsensus(Louvain),AMI,1
60,10000,0.4,FastConsensus(Louvain),NMI,0.99981521
61,10000,0.4,FastConsensus(Louvain),ARI,0.999630429
,10000,0.4,FastConsensus(Louvain),AMI,0.999618572
62,10000,0.5,FastConsensus(Louvain),NMI,0.950089985
63,10000,0.5,FastConsensus(Louvain),ARI,0.702044409
,10000,0.5,FastConsensus(Louvain),AMI,0.879183196
64,10000,0.6,FastConsensus(Louvain),NMI,0.934222534
65,10000,0.6,FastConsensus(Louvain),ARI,0.568072067
,10000,0.6,FastConsensus(Louvain),AMI,0.834655743
66,10000,0.7,FastConsensus(Louvain),NMI,0.926413522
67,10000,0.7,FastConsensus(Louvain),ARI,0.523835713
,10000,0.7,FastConsensus(Louvain),AMI,0.804488551
68,10000,0.8,FastConsensus(Louvain),NMI,0.783330157
69,10000,0.8,FastConsensus(Louvain),ARI,0.04151331
,10000,0.8,FastConsensus(Louvain),AMI,0.55524949
70,10000,0.9,FastConsensus(Louvain),NMI,0.729174174
71,10000,0.9,FastConsensus(Louvain),ARI,0.016455699
,10000,0.9,FastConsensus(Louvain),AMI,0.059879526
