,n,mu,partition,acc_measure,acc_value
0,10000,0.1,Leiden-MOD,NMI,0.96552566
1,10000,0.1,Leiden-MOD,ARI,0.943191485
,10000,0.1,Leiden-MOD,AMI,0.960908237
,10000,0.1,Leiden-MOD,F1-score,0.944120968
2,10000,0.1,ECG,NMI,0.9981974
3,10000,0.1,ECG,ARI,0.998651417
,10000,0.1,ECG,AMI,0.997628373
,10000,0.1,ECG,F1-score,0.998612489
4,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.963378346
5,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.938699658
6,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.968057888
7,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.946977803
8,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.979811373
9,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.967975379
,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.976705972
,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-score,0.96848719
10,10000,0.2,Leiden-MOD,NMI,0.954801359
11,10000,0.2,Leiden-MOD,ARI,0.917865277
,10000,0.2,Leiden-MOD,AMI,0.949151045
,10000,0.2,Leiden-MOD,F1-score,0.919236099
12,10000,0.2,ECG,NMI,0.996318904
13,10000,0.2,ECG,ARI,0.995830116
,10000,0.2,ECG,AMI,0.995882859
,10000,0.2,ECG,F1-score,0.99604837
14,10000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.950327414
15,10000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.904877482
16,10000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.957412728
17,10000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.921327242
18,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.974356454
19,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.95244766
,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.970493956
,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-score,0.953216136
20,10000,0.3,Leiden-MOD,NMI,0.927645874
21,10000,0.3,Leiden-MOD,ARI,0.85608759
,10000,0.3,Leiden-MOD,AMI,0.919659658
,10000,0.3,Leiden-MOD,F1-score,0.858595442
22,10000,0.3,ECG,NMI,0.971269667
23,10000,0.3,ECG,ARI,0.916259992
,10000,0.3,ECG,AMI,0.970597135
,10000,0.3,ECG,F1-score,0.946755235
