,deg,mu,partition,acc_measure,acc_value
0,5,0.1,Leiden-MOD,NMI,0.92028727
1,5,0.1,Leiden-MOD,ARI,0.713290034
2,5,0.1,ECG,NMI,0.964797107
3,5,0.1,ECG,ARI,0.856952118
4,5,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.938210553
5,5,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.781997475
6,5,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.937615377
7,5,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.778442704
8,5,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.955290551
9,5,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.834521422
10,5,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.962301687
11,5,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.858116317
12,5,0.2,Leiden-MOD,NMI,0.830396725
13,5,0.2,Leiden-MOD,ARI,0.498519738
14,5,0.2,ECG,NMI,0.771432608
15,5,0.2,ECG,ARI,0.431686854
16,5,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.890538738
17,5,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.68421672
18,5,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.899987936
19,5,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.710146547
20,5,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.944329535
21,5,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.843648326
22,5,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.949189518
23,5,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.865412222
24,5,0.3,Leiden-MOD,NMI,0.453149394
25,5,0.3,Leiden-MOD,ARI,0.125532681
26,5,0.3,ECG,NMI,0.446116827
27,5,0.3,ECG,ARI,0.087985388
28,5,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.532305974
29,5,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.192452556
30,5,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.54334088
31,5,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.199885218
32,5,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.764524228
33,5,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.334354612
34,5,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.777413628
35,5,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.296671793
36,5,0.4,Leiden-MOD,NMI,0.319655028
37,5,0.4,Leiden-MOD,ARI,0.048708143
38,5,0.4,ECG,NMI,0.389971561
