,n,mu,partition,acc_measure,acc_value
0,1000,0.1,Leiden-MOD,NMI,0.978015437
1,1000,0.1,Leiden-MOD,ARI,0.963711927
2,1000,0.1,ECG,NMI,0.998719529
3,1000,0.1,ECG,ARI,0.999099986
4,1000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.978015437
5,1000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.963711927
6,1000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.978015437
7,1000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.963711927
8,1000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.978015437
9,1000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.963711927
10,1000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.978015437
11,1000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.963711927
12,1000,0.2,Leiden-MOD,NMI,0.964738746
13,1000,0.2,Leiden-MOD,ARI,0.943927899
14,1000,0.2,ECG,NMI,0.995057517
15,1000,0.2,ECG,ARI,0.990310086
16,1000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.968181949
17,1000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.948110813
18,1000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.968181949
19,1000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.948110813
20,1000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.972152131
21,1000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.954219899
22,1000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.972152131
23,1000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.954219899
24,1000,0.3,Leiden-MOD,NMI,0.920997296
25,1000,0.3,Leiden-MOD,ARI,0.882381508
26,1000,0.3,ECG,NMI,0.950469383
27,1000,0.3,ECG,ARI,0.918631536
28,1000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.928076199
29,1000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.895118948
30,1000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.928076199
31,1000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.895118948
32,1000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.939558097
33,1000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.913781303
34,1000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.943022753
35,1000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.919871188
36,1000,0.4,Leiden-MOD,NMI,0.736238198
37,1000,0.4,Leiden-MOD,ARI,0.607312578
38,1000,0.4,ECG,NMI,0.784113871
39,1000,0.4,ECG,ARI,0.68594826
40,1000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.785023888
41,1000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.700258153
42,1000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.792625822
43,1000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.710265971
44,1000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.825798304
45,1000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.744595032
46,1000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.83440786
47,1000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.744550135
48,1000,0.5,Leiden-MOD,NMI,0.380982276
49,1000,0.5,Leiden-MOD,ARI,0.221641258
50,1000,0.5,ECG,NMI,0.463306985
51,1000,0.5,ECG,ARI,0.268686535
52,1000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.480326507
53,1000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.3095874
54,1000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.503060067
55,1000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.315693806
56,1000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.664286312
57,1000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.264886327
58,1000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.667427503
59,1000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.16342673
60,1000,0.6,Leiden-MOD,NMI,0.143350687
61,1000,0.6,Leiden-MOD,ARI,0.027264196
62,1000,0.6,ECG,NMI,0.201461845
63,1000,0.6,ECG,ARI,0.049971324
64,1000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.222285849
65,1000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.058659778
66,1000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.207597169
67,1000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.044555833
68,1000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.58746119
69,1000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.02585318
70,1000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.621505336
71,1000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.0167435
72,1000,0.7,Leiden-MOD,NMI,0.099508084
73,1000,0.7,Leiden-MOD,ARI,0.007479499
74,1000,0.7,ECG,NMI,0.143739718
75,1000,0.7,ECG,ARI,0.01052255
76,1000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.133533853
77,1000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.016971368
78,1000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.152214865
79,1000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.021158962
80,1000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.580807632
81,1000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.008981761
82,1000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.61740746
83,1000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.003548194
84,1000,0.8,Leiden-MOD,NMI,0.063013858
85,1000,0.8,Leiden-MOD,ARI,-8.35E-05
86,1000,0.8,ECG,NMI,0.116977632
87,1000,0.8,ECG,ARI,-0.000859162
88,1000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.105578769
89,1000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.00225069
90,1000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.125677055
91,1000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.001125544
92,1000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.567586517
93,1000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.000556045
94,1000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.608784226
95,1000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-0.000265529
96,1000,0.9,Leiden-MOD,NMI,0.069536345
97,1000,0.9,Leiden-MOD,ARI,0.003574634
98,1000,0.9,ECG,NMI,0.109874698
99,1000,0.9,ECG,ARI,-0.00177046
100,1000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.086418202
101,1000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,-0.00055201
102,1000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.110773889
103,1000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,-0.001493353
104,1000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.582385373
105,1000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-8.73E-05
106,1000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.614561873
107,1000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-0.000183731
,10000,0.1,Leiden-MOD,NMI,0.96552566
,10000,0.1,Leiden-MOD,ARI,0.943191485
,10000,0.1,ECG,NMI,0.9981974
,10000,0.1,ECG,ARI,0.998651417
,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.963378346
,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.938699658
